"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при неправильном логине возвращается ошибка 404","267","Нельзя залогиниться с неправильным логином","tests","Wed Jul 02 12:03:30 GMT+05:00 2025","passed","Wed Jul 02 12:03:30 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
"Проверяем, что запрос без логина или пароля возвращает ошибку 400","221","Нельзя залогиниться без обязательных полей","tests","Wed Jul 02 12:03:32 GMT+05:00 2025","passed","Wed Jul 02 12:03:33 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
"Проверяем, что запрос возвращает список заказов в теле ответа","3296","Получение списка заказов","tests","Wed Jul 02 12:03:24 GMT+05:00 2025","passed","Wed Jul 02 12:03:27 GMT+05:00 2025","TestGetOrdersList","API тесты: Список заказов","",""
"Проверяем, что запрос без логина или пароля возвращает ошибку 400","469","Нельзя создать курьера без обязательных полей","tests","Wed Jul 02 12:03:22 GMT+05:00 2025","passed","Wed Jul 02 12:03:23 GMT+05:00 2025","TestCreateCourier","API тесты: Создание курьера","",""
"Проверяем, что курьера можно создать, и запрос возвращает 201 и {'ok': true}","1","Успешное создание курьера","tests","Wed Jul 02 12:03:20 GMT+05:00 2025","passed","Wed Jul 02 12:03:20 GMT+05:00 2025","TestCreateCourier","API тесты: Создание курьера","",""
"Проверяем, что запрос без firstName возвращает 201 и {'ok': true}","482","Нельзя создать курьера без необязательного поля firstName","tests","Wed Jul 02 12:03:23 GMT+05:00 2025","failed","Wed Jul 02 12:03:23 GMT+05:00 2025","TestCreateCourier","API тесты: Создание курьера","",""
"Проверяем, что заказ можно создать с указанием одного цвета, обоих цветов или без цвета","272","Успешное создание заказа с разными вариантами цвета","tests","Wed Jul 02 12:03:23 GMT+05:00 2025","passed","Wed Jul 02 12:03:24 GMT+05:00 2025","TestCreateOrder","API тесты: Создание заказа","",""
"Проверяем, что заказ можно создать с указанием одного цвета, обоих цветов или без цвета","265","Успешное создание заказа с разными вариантами цвета","tests","Wed Jul 02 12:03:23 GMT+05:00 2025","passed","Wed Jul 02 12:03:23 GMT+05:00 2025","TestCreateOrder","API тесты: Создание заказа","",""
"Проверяем, что логин несуществующим пользователем возвращает ошибку 404","227","Нельзя залогиниться под несуществующим пользователем","tests","Wed Jul 02 12:04:34 GMT+05:00 2025","passed","Wed Jul 02 12:04:34 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
"Проверяем, что заказ можно создать с указанием одного цвета, обоих цветов или без цвета","245","Успешное создание заказа с разными вариантами цвета","tests","Wed Jul 02 12:03:24 GMT+05:00 2025","passed","Wed Jul 02 12:03:24 GMT+05:00 2025","TestCreateOrder","API тесты: Создание заказа","",""
"Проверяем, что при попытке создать курьера с существующим логином возвращается ошибка 409","470","Невозможно создать двух одинаковых курьеров","tests","Wed Jul 02 12:03:21 GMT+05:00 2025","passed","Wed Jul 02 12:03:21 GMT+05:00 2025","TestCreateCourier","API тесты: Создание курьера","",""
"Проверяем, что при неправильном пароле возвращается ошибка 404","347","Нельзя залогиниться с неправильным паролем","tests","Wed Jul 02 12:03:31 GMT+05:00 2025","passed","Wed Jul 02 12:03:31 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
"Проверяем, что курьер может авторизоваться и запрос возвращает ID","447","Успешный логин курьера","tests","Wed Jul 02 12:03:28 GMT+05:00 2025","passed","Wed Jul 02 12:03:28 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
"Проверяем, что заказ можно создать с указанием одного цвета, обоих цветов или без цвета","274","Успешное создание заказа с разными вариантами цвета","tests","Wed Jul 02 12:03:24 GMT+05:00 2025","passed","Wed Jul 02 12:03:24 GMT+05:00 2025","TestCreateOrder","API тесты: Создание заказа","",""
"Проверяем, что запрос без логина или пароля возвращает ошибку 400","580","Нельзя создать курьера без обязательных полей","tests","Wed Jul 02 12:03:22 GMT+05:00 2025","passed","Wed Jul 02 12:03:22 GMT+05:00 2025","TestCreateCourier","API тесты: Создание курьера","",""
"Проверяем, что запрос без логина или пароля возвращает ошибку 400","60284","Нельзя залогиниться без обязательных полей","tests","Wed Jul 02 12:03:33 GMT+05:00 2025","failed","Wed Jul 02 12:04:34 GMT+05:00 2025","TestLoginCourier","API тесты: Логин курьера","",""
